UNITID,PSGRTYPE,XPGREVCT,PGREVCT,XPGEXCLU,PGEXCLU,XPGADJCT,PGADJCT,XPGCMBAC,PGCMBAC,XPGCMOBA,PGCMOBA,XPGCMTOT,PGCMTOT,XSSREVCT,SSREVCT,XSSEXCLU,SSEXCLU,XSSADJCT,SSADJCT,XSSCMBAC,SSCMBAC,XSSCMOBA,SSCMOBA,XSSCMTOT,SSCMTOT,XNRREVCT,NRREVCT,XNREXCLU,NREXCLU,XNRADJCT,NRADJCT,XNRCMBAC,NRCMBAC,XNRCMOBA,NRCMOBA,XNRCMTOT,NRCMTOT,XTTREVCT,TTREVCT,XTTEXCLU,TTEXCLU,XTTADJCT,TTADJCT,XTTCMBAC,TTCMBAC,XTTCMOBA,TTCMOBA,XTTCMTOT,TTCMTOT 
481003,4,R,129,Z,0,R,129,A,,A,,R,102,R,6,Z,0,R,6,A,,A,,R,6,R,130,Z,0,R,130,A,,A,,R,130,R,265,R,0,R,265,A,,A,,R,238
481021,4,R,14,Z,0,R,14,A,,A,,R,12,R,8,Z,0,R,8,A,,A,,R,8,R,16,Z,0,R,16,A,,A,,R,16,R,38,R,0,R,38,A,,A,,R,36
481049,4,R,3,Z,0,R,3,A,,A,,R,3,R,0,Z,0,R,0,A,,A,,R,0,R,0,Z,0,R,0,A,,A,,R,0,R,3,R,0,R,3,A,,A,,R,3
481100,4,R,17,Z,0,R,17,A,,A,,R,17,R,0,Z,0,R,0,A,,A,,R,0,R,36,Z,0,R,36,A,,A,,R,32,R,53,R,0,R,53,A,,A,,R,49
481128,4,R,35,Z,0,R,35,A,,A,,R,30,R,0,Z,0,R,0,A,,A,,R,0,R,0,Z,0,R,0,A,,A,,R,0,R,35,R,0,R,35,A,,A,,R,30
481137,4,R,8,Z,0,R,8,A,,A,,R,7,R,2,Z,0,R,2,A,,A,,R,2,R,8,Z,0,R,8,A,,A,,R,5,R,18,R,0,R,18,A,,A,,R,14
481146,4,R,80,Z,0,R,80,A,,A,,R,55,R,5,Z,0,R,5,A,,A,,R,4,R,89,Z,0,R,89,A,,A,,R,59,R,174,R,0,R,174,A,,A,,R,118
481155,4,R,40,Z,0,R,40,A,,A,,R,21,R,12,Z,0,R,12,A,,A,,R,6,R,4,Z,0,R,4,A,,A,,R,2,R,56,R,0,R,56,A,,A,,R,29
481182,4,R,17,Z,0,R,17,A,,A,,R,15,R,0,Z,0,R,0,A,,A,,R,0,R,16,Z,0,R,16,A,,A,,R,13,R,33,R,0,R,33,A,,A,,R,28
481191,4,R,49,Z,0,R,49,A,,A,,R,41,R,0,Z,0,R,0,A,,A,,R,0,R,161,Z,0,R,161,A,,A,,R,126,R,210,R,0,R,210,A,,A,,R,167
481207,4,R,14,Z,0,R,14,A,,A,,R,14,R,0,Z,0,R,0,A,,A,,R,0,R,0,Z,0,R,0,A,,A,,R,0,R,14,R,0,R,14,A,,A,,R,14
481225,1,R,1,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,7,R,0,R,7,R,6,R,0,R,6,R,8,R,0,R,8,R,6,R,0,R,6
481225,2,R,1,Z,0,R,1,R,0,R,0,R,0,R,0,Z,0,R,0,R,0,R,0,R,0,R,7,Z,0,R,7,R,6,R,0,R,6,R,8,R,0,R,8,R,6,R,0,R,6
481243,4,R,10,Z,0,R,10,A,,A,,R,9,R,7,Z,0,R,7,A,,A,,R,6,R,13,Z,0,R,13,A,,A,,R,13,R,30,R,0,R,30,A,,A,,R,28
